,Mobile Traffic,Time Spend On YouTube [min],Time Spend On TikTok [min],Time Spend On Instagram [min],Time Spend On Spotify [min],Size of home [m2],Occupation,Family Type,Family Interest,House Type,Number Of Residents,Average Age,Distance To Nearest Tower [m],Number Of Phones,Number Of Computers,Number Of Tvs,Number Of Pets,Customer Happiness
0,10.981755364023918,6.098662461622196,9.899031121661599,11.217023005523004,10.124533615835997,108.78009715563095,Firefighter,Couple,Sporty,Glas,2,60,1510.9318968516773,3,2,3,1,6.0
1,16.835864328674024,11.015462603005385,18.199971157902535,19.792695619984187,22.251852306225512,158.7793292409943,Data Scientist,Singles,Travelling,Tiles,2,31,311.7283758321687,3,1,1,2,7.0
2,17.240143560424265,7.54048675486343,26.61889938886571,9.864039734791653,25.877913165211968,168.06470941445914,Nurse,Seniors,Crafty,Glas,3,54,1072.811971379013,4,2,2,1,7.0
3,14.177456082828574,9.186147010648291,10.217294573096162,9.190486280462943,19.399219483176335,150.5380798471458,Teacher,Singles,Gaming,Tiles,3,51,1359.400383421404,3,3,2,2,4.0
4,19.13870956722565,17.070662134122905,9.143344867331294,11.643087694259984,90.87445203317509,221.54954067429784,Firefighter,Couple,Travelling,Glas,3,47,800.8339334800894,4,2,2,2,8.0
5,15.913554747815967,13.860598595009952,12.089075904266968,19.13059599021004,16.806811308167497,156.98554865417339,Firefighter,Family,Outdoor,Tiles,3,48,1309.9643576263243,3,2,2,2,7.0
6,12.818726838999279,10.59795494193374,18.686984877024695,5.9475078587500105,8.917278948909075,101.71555705670926,Nurse,Couple,Travelling,Concrete,2,45,906.1849234874794,3,1,3,2,8.0
7,21.332520009072624,42.710776289818874,59.67131361875916,4.895467296348074,16.82671768204209,124.4850948103673,Data Scientist,Family,Outdoor,Glas,2,43,1710.417860260194,3,2,1,2,10.0
8,19.75919880416801,26.13989064103063,31.58101877512192,33.871746982238726,11.814706286685482,109.85941311701455,Teacher,Singles,Gaming,Tiles,3,46,1213.6591735861396,3,2,2,3,8.0
9,16.056151378492533,24.544412175939293,13.049654962156648,9.35106967532122,27.819215651399016,107.07309970504843,Firefighter,Family,Travelling,Tiles,2,54,731.3172094444028,4,2,2,2,9.0
10,16.813033980123585,13.323450077723212,27.654970820952066,33.82032195344774,11.26802286262955,118.0505028520194,Data Scientist,Couple,Gaming,Glas,3,52,1266.1507107061375,3,2,1,2,8.0
11,13.741149791439131,11.99893687257878,8.91213901152877,15.996649615523117,26.39158728750881,123.26307929586619,Nurse,Seniors,Gaming,Tiles,2,46,1067.5541477845784,3,2,2,2,7.0
12,13.280603451359578,3.666278078401901,11.521205072652467,22.620435240987735,17.408348833941663,158.35474626261066,,Singles,Sporty,Glas,3,49,912.4737279681906,2,2,2,2,6.0
13,18.004248792336583,19.21123803527047,11.847636839898685,11.10564932138752,6.345705140356053,201.08542523759127,Student,Seniors,Crafty,Wood,7,76,731.9636826023302,5,4,2,2,8.0
